UNITID_P,INSTNM,Latitude,Longitude
196097001,Stony Brook University,40.9090809,-73.12055180275716
196103001,SUNY College of Environmental Science and Forestry,43.0347222,-76.1355556
196103002,SUNY College of Environmental Science and Forestry,44.143037738823494,-74.90930677278483
196413001,Syracuse University,43.04017615,-76.13713222785876
196413009,Syracuse University,46.3144754,11.0480288
196413010,Syracuse University,46.3144754,11.0480288
196413011,Syracuse University,46.3144754,11.0480288
196413013,Syracuse University,46.3144754,11.0480288
196413015,Syracuse University,46.3144754,11.0480288
196413020,Syracuse University,40.746173,-73.9843135
197708002,Yeshiva University,40.7466743,-73.9792975
197708003,Yeshiva University,41.52092313690732,-74.04937634531838
197708005,Yeshiva University,46.3144754,11.0480288
197708006,Yeshiva University,40.8510538,-73.8502022
199847001,Wake Forest University,36.1299942,-80.2821731
199847002,Wake Forest University,36.10000965306122,-80.24024365306123
100858001,Auburn University,32.60471105,-85.48279062089341
100858002,Auburn University,46.3144754,11.0480288
100858005,Auburn University,33.51647889795918,-86.81774108163265
100858006,Auburn University,32.6118107,-85.43694166226194
100858007,Auburn University,32.6074533,-85.4817293
100858008,Auburn University,32.68249,-85.508237
100858011,Auburn University,32.37701195446968,-86.29956028153293
100858012,Auburn University,33.51559418367347,-86.80628208163265
100858014,Auburn University,30.689823,-88.045395
102049002,Samford University,46.3144754,11.0480288
104179005,University of Arizona,31.562609645161288,-110.24747787096774
110635003,University of California-Berkeley,38.90651435,-77.03737669188929
110644002,University of California-Davis,38.5520732,-121.4508645
110653001,University of California-Irvine,33.64294685,-117.84016055716224
110671001,University of California-Riverside,33.9753122,-117.3362121
110671002,University of California-Riverside,33.772875,-116.354769
110714001,University of California-Santa Cruz,36.977383642396106,-122.05493567193771
111948002,Chapman University,33.652452,-117.720975
117140014,University of La Verne,34.065776502241505,-117.6139917462444
117140021,University of La Verne,34.40816685641244,-118.56791692248912
117946002,Loyola Marymount University,34.04911426530612,-118.27038763265308
120883001,University of the Pacific,37.98042375,-121.31284719832666
121150001,Pepperdine University,34.0385744,-118.7070564
121150006,Pepperdine University,46.3144754,11.0480288
121150009,Pepperdine University,46.3144754,11.0480288
121150010,Pepperdine University,46.3144754,11.0480288
121150011,Pepperdine University,46.3144754,11.0480288
121150012,Pepperdine University,33.977792,-118.392819
121150013,Pepperdine University,46.3144754,11.0480288
121150015,Pepperdine University,38.90088302337421,-77.04514756720086
121150016,Pepperdine University,34.1382598,-118.7116154
122409002,San Diego State University,32.6721349,-115.49215177770594
122409003,San Diego State University,46.3144754,11.0480288
122436001,University of San Diego,32.7723935,-117.1901877
122436002,University of San Diego,46.3144754,11.0480288
122612008,University of San Francisco,37.322366,-122.0464916
122612009,University of San Francisco,37.7703081,-122.4177209
122931001,Santa Clara University,37.3505152,-121.93671710067976
122931002,Santa Clara University,37.87700183300246,-122.25858769205117
123961002,University of Southern California,34.02186895,-118.285857923125
123961005,University of Southern California,38.5781318,-121.48196239421536
123961006,University of Southern California,33.980405510204086,-118.44042783673468
