Type,Date,Description,Address,Latitude,Longitude,City,State,Median Household Income,Address_Clean
Theft,09/27/2024 2:00 PM,THEFT / STOLEN / SHOPLIFTING - EXCEPT VEHICLE. Disclaimer,"800 BLOCK OF W SECOND ST, FREDERICK, MD",39.4229618,-77.41891707264057,FREDERICK,MD,"$89,981","800 block of w second st, frederick, md"
Assault,09/27/2024 1:03 PM,HARRASSMENT. Disclaimer,"200 BLOCK OF E EIGHTH ST, FREDERICK, MD",39.4229618,-77.41891707264057,FREDERICK,MD,"$89,981","200 block of e eighth st, frederick, md"
Theft,09/30/2024 12:00 AM,Wallet Was Stolen.,"7000 BLOCK OF DEEPAGE DRIVE, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7000 block of deepage drive, columbia, md"
Theft,09/24/2024 12:00 AM,Wallet Was Stolen.,"7200 BLOCK OF LEE DEFOREST DRIVE, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7200 block of lee deforest drive, columbia, md"
Theft,09/22/2024 12:00 AM,Fanny Pack Was Stolen.,"9100 BLOCK OF OLD GUILFORD ROAD, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9100 block of old guilford road, columbia, md"
Theft,09/22/2024 12:00 AM,Cash Was Stolen.,"6900 BLOCK OF OAKLAND MILLS ROAD, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","6900 block of oakland mills road, columbia, md"
Arrest,09/14/2024 10:20 PM,A Report Of A Unlawful Exhibition Driving Events,"9300 BLOCK OF SNOWDEN RIVER PARKWAY, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9300 block of snowden river parkway, columbia, md"
Theft,09/14/2024 12:00 AM,"2015 Silver Kia Optima, Tags Md/3El8571 Was Stolen.","9700 BLOCK OF EARLY SPRING WAY, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9700 block of early spring way, columbia, md"
Theft,09/14/2024 12:00 AM,2013 Kia Optima Was Stolen.,"9600 BLOCK OF CLOCKTOWER LANE, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9600 block of clocktower lane, columbia, md"
Theft,09/14/2024 12:00 AM,"2015 Silver Kia Optima, Tags Md/3El8571 Was Stolen","9700 BLOCK OF EARLY SPRING WAY, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9700 block of early spring way, howard county, md"
Theft,09/09/2024 12:00 AM,Multiple Vehicles,"9600 BLOCK OF QUARRY BRIDGE COURT, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9600 block of quarry bridge court, howard county, md"
Theft,09/09/2024 12:00 AM,Multiple Vehicles,"9600 BLOCK OF QUARRY BRIDGE COURT, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9600 block of quarry bridge court, columbia, md"
Theft,09/02/2024 12:00 AM,Airbag Was Stolen,"7500 BLOCK OF MONARCH MILLS WAY, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7500 block of monarch mills way, howard county, md"
Theft,09/02/2024 12:00 AM,Airbag Was Stolen.,"7500 BLOCK OF MONARCH MILLS WAY, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7500 block of monarch mills way, columbia, md"
Theft,09/02/2024 12:00 AM,Airbag Was Stolen.,"7500 BLOCK OF MURRAY HILL ROAD, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7500 block of murray hill road, columbia, md"
Theft,09/02/2024 12:00 AM,Airbag Was Stolen.,"9500 BLOCK OF CLOCKTOWER LANE, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9500 block of clocktower lane, columbia, md"
Theft,09/02/2024 12:00 AM,Airbag Was Stolen,"9500 BLOCK OF CLOCKTOWER LANE, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9500 block of clocktower lane, howard county, md"
Theft,09/02/2024 12:00 AM,Airbag Was Stolen,"7500 BLOCK OF MURRAY HILL ROAD, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7500 block of murray hill road, howard county, md"
Theft,08/30/2024 12:00 AM,Change  Was Stolen,"9200 BLOCK OF MOONFIRE PLACE, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9200 block of moonfire place, howard county, md"
Theft,08/30/2024 12:00 AM,Money  Was Stolen.,"7000 BLOCK OF GENTLE SHADE, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7000 block of gentle shade, columbia, md"
Theft,08/30/2024 12:00 AM,Money  Was Stolen,"7000 BLOCK OF GENTLE SHADE, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7000 block of gentle shade, howard county, md"
Theft,08/30/2024 12:00 AM,Change Was Stolen.,"9200 BLOCK OF MOONFIRE PLACE, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9200 block of moonfire place, columbia, md"
Theft,08/28/2024 12:00 AM,"2018 White Jeep Grand Cherokee, Tags Md/5Ej1318 Was Stolen.","9400 BLOCK OF KINGS GRANT ROAD, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9400 block of kings grant road, columbia, md"
Theft,08/19/2024 12:00 AM,Various Items Was Stolen.,"7100 BLOCK OF TALISMAN LANE, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7100 block of talisman lane, columbia, md"
Theft,08/19/2024 12:00 AM,Various Items  Was Stolen,"7100 BLOCK OF TALISMAN LANE, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7100 block of talisman lane, howard county, md"
Theft,08/18/2024 12:00 AM,Various Items  Was Stolen,"7000 BLOCK OF MINSTREL WAY, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7000 block of minstrel way, howard county, md"
Theft,08/17/2024 2:00 PM,Tag Was Stolen,"7200 BLOCK OF CRADLEROCK WAY, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7200 block of cradlerock way, howard county, md"
Robbery,08/17/2024 9:00 AM,A Store Employee Reported Two Male Suspects Entered The Store And Stole Vape Products Before Fleeing.,"7200 BLOCK OF CRADLEROCK WAY, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7200 block of cradlerock way, howard county, md"
Theft,08/14/2024 12:00 AM,Airbag Was Stolen.,"6700 BLOCK OF QUIET HOURS, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","6700 block of quiet hours, columbia, md"
Theft,08/14/2024 12:00 AM,Two Vehicles,"6700 BLOCK OF QUIET HOURS, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","6700 block of quiet hours, howard county, md"
Theft,08/06/2024 7:00 AM,Various Items  Was Stolen.,"9200 BLOCK OF BERGER ROAD, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9200 block of berger road, columbia, md"
Theft,08/06/2024 7:00 AM,Tags Was Stolen,"9200 BLOCK OF BERGER ROAD, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9200 block of berger road, howard county, md"
Theft,08/06/2024 12:00 AM,2019 Ford F-350 Was Stolen.,"6600 BLOCK OF CRADLEROCK WAY, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","6600 block of cradlerock way, columbia, md"
Theft,08/04/2024 3:09 AM,A Suspect Entered The Business By Cutting The Locks And Stole Cash And Cigarettes.,"9300 BLOCK OF SNOWDEN RIVER PARKWAY, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9300 block of snowden river parkway, columbia, md"
Burglary,08/04/2024 3:09 AM,Police Responded For A Business Alarm And Discovered A Suspect Entered The Business By Cutting The Locks And Stole Cash And Cigarettes. Police Located The Suspect Nearby And Arrested Him.,"9300 BLOCK OF SNOWDEN RIVER PARKWAY, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9300 block of snowden river parkway, howard county, md"
Theft,08/04/2024 12:00 AM,"2015 White Hyundai Sonata, Tags Md/50010Ch Was Stolen","9500 BLOCK OF QUARRY BRIDGE COURT, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9500 block of quarry bridge court, howard county, md"
Theft,08/04/2024 12:00 AM,"2023 Black Nissan Sentra, Tags Md/ 1Fr4376 Was Stolen.","9600 BLOCK OF QUARRY BRIDGE COURT, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9600 block of quarry bridge court, columbia, md"
Theft,08/04/2024 12:00 AM,"2023 Black Nissan Sentra, Tags Md/ 1Fr4376 Was Stolen","9600 BLOCK OF QUARRY BRIDGE COURT, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9600 block of quarry bridge court, howard county, md"
Theft,08/04/2024 12:00 AM,"2015 White Hyundai Sonata, Tags Md/50010Ch Was Stolen.","9500 BLOCK OF QUARRY BRIDGE COURT, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9500 block of quarry bridge court, columbia, md"
Theft,08/03/2024 5:00 PM,Various Items Was Stolen.,"9300 BLOCK OF SNOWDEN RIVER PARKWAY, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9300 block of snowden river parkway, columbia, md"
Theft,08/03/2024 4:00 PM,Tag Was Stolen,"9300 BLOCK OF SNOWDEN RIVER PARKWAY, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","9300 block of snowden river parkway, howard county, md"
Theft,08/03/2024 11:50 AM,"Cash, Credit Cards Was Stolen.","9100 BLOCK OF OLD GUILFORD ROAD, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","9100 block of old guilford road, columbia, md"
Theft,07/29/2024 12:00 AM,"2017 Hyundai Sonata, White Was Stolen","7100 BLOCK OF WINTER ROSE PATH, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7100 block of winter rose path, howard county, md"
Theft,07/29/2024 12:00 AM,"2017 Hyundai Sonata, White Was Stolen.","7100 BLOCK OF WINTER ROSE PATH, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7100 block of winter rose path, columbia, md"
Theft,07/23/2024 12:00 AM,A Credit Card Was Stolen.,"7200 BLOCK OF LEE DEFOREST DRIVE, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7200 block of lee deforest drive, columbia, md"
Theft,07/23/2024 12:00 AM,Credit Card Was Stolen,"7200 BLOCK OF LEE DEFOREST DRIVE, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7200 block of lee deforest drive, howard county, md"
Theft,07/19/2024 12:00 AM,"2013 Brown Ford Econoline E-350, Tags Md/7Fh1997 Was Stolen.","7500 BLOCK OF MURRAY HILL ROAD, Columbia, MD",39.1754265,-76.8357757,Columbia,MD,"$124,537","7500 block of murray hill road, columbia, md"
Theft,07/19/2024 12:00 AM,"2013 Brown Ford Econoline E-350, Tags Md/7Fh1997 Was Stolen","7500 BLOCK OF MURRAY HILL ROAD, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7500 block of murray hill road, howard county, md"
Theft,07/18/2024 12:00 AM,Theft From Vehicle/Vehicle Break-In,"7400 BLOCK OF BROKEN STAFF, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7400 block of broken staff, howard county, md"
Theft,07/18/2024 12:00 AM,"2013 Gray Hyundai Sonata, Tags Md/2Ee0375 Was Stolen","7300 BLOCK OF KERRY HILL COURT, Howard County, MD",39.1754265,-76.8357757,Howard County,MD,"$140,971","7300 block of kerry hill court, howard county, md"
Robbery,10/02/2024 1:24 AM,A Group Of Suspects Approached The Victim While Displaying Weapons And Stole From The Victim At The Location.,"5300 BLOCK OF EDMONSON AVE, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","5300 block of edmonson ave, baltimore county, md"
Burglary,10/01/2024 4:15 AM,An Unknown Suspect Broke Into The Location And Stole An Undisclosed Amount Of U.S. Currency.,"1700 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1700 block of york rd, baltimore county, md"
Arrest,09/30/2024 7:30 AM,The Suspect Displayed A Weapon While Walking Towards The Victim.,"ANDALWOOD RD AND BAYNER RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","andalwood rd and bayner rd, baltimore county, md"
Other,09/29/2024 11:40 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"2100 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2100 block of york rd, baltimore county, md"
Other,09/29/2024 11:19 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"2300 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2300 block of york rd, baltimore county, md"
Other,09/29/2024 9:45 PM,SUSPPERS - SUSPICIOUS PERSON. Event #,"100 BLOCK OF W TIMONIUM RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","100 block of w timonium rd, baltimore county, md"
Assault,09/29/2024 8:46 PM,FIGHT - FIGHT IN PROGRESS. Event #,"100 BLOCK OF GREENMEADOW DR, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","100 block of greenmeadow dr, baltimore county, md"
Theft,09/29/2024 6:23 PM,THEFT - THEFT (LARCENY) - IN PROGRESS. Event #,"00 BLOCK OF W TIMONIUM RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","00 block of w timonium rd, baltimore county, md"
Other,09/29/2024 5:25 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"NCR TRAIL BET 10-11, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","ncr trail bet 10-11, baltimore county, md"
Other,09/29/2024 5:11 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"1900 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1900 block of york rd, baltimore county, md"
Other,09/29/2024 4:55 PM,URGCHECK - URGENT CHECK THE WELFARE. Event #,"APPROX LOC:I70, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","approx loc:i70, baltimore county, md"
Theft,09/29/2024 4:49 PM,PFRAUD - PAST FRAUD. Event #,"9500 BLOCK OF DEERECO RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","9500 block of deereco rd, baltimore county, md"
Other,09/29/2024 4:21 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"500 BLOCK OF W SEMINARY AVE, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","500 block of w seminary ave, baltimore county, md"
Other,09/29/2024 3:48 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"2400 BLOCK OF CHETWOOD CIR, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2400 block of chetwood cir, baltimore county, md"
Other,09/29/2024 3:31 PM,SUSPCOND - SUSPICIOUS CIRCUMSTANCES. Event #,"9600 BLOCK OF DEERECO RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","9600 block of deereco rd, baltimore county, md"
Other,09/29/2024 12:29 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"GREENSPRING SC, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","greenspring sc, baltimore county, md"
Theft,09/29/2024 8:37 AM,PTHEFT - PAST THEFT (LARCENY). Event #,"2100 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2100 block of york rd, baltimore county, md"
Other,09/29/2024 3:14 AM,SUSPPERSW - SUSPICIOUS PERSON - WEAPON INVOLVED. Event #,"200 BLOCK OF SPRING AVE, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","200 block of spring ave, baltimore county, md"
Other,09/29/2024 1:57 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"00 BLOCK OF E PADONIA RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","00 block of e padonia rd, baltimore county, md"
Other,09/29/2024 1:54 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2400 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2400 block of york rd, baltimore county, md"
Other,09/29/2024 1:53 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2400 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2400 block of york rd, baltimore county, md"
Other,09/29/2024 1:51 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2300 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2300 block of york rd, baltimore county, md"
Other,09/29/2024 1:49 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2300 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2300 block of york rd, baltimore county, md"
Other,09/29/2024 1:47 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2100 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2100 block of york rd, baltimore county, md"
Other,09/29/2024 1:43 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2100 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2100 block of york rd, baltimore county, md"
Other,09/29/2024 1:40 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2100 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2100 block of york rd, baltimore county, md"
Other,09/29/2024 1:38 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"00 BLOCK OF E TIMONIUM RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","00 block of e timonium rd, baltimore county, md"
Other,09/29/2024 1:35 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"00 BLOCK OF E TIMONIUM RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","00 block of e timonium rd, baltimore county, md"
Other,09/29/2024 1:31 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"00 BLOCK OF W RIDGELY RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","00 block of w ridgely rd, baltimore county, md"
Other,09/29/2024 1:23 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2000 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2000 block of york rd, baltimore county, md"
Other,09/29/2024 1:21 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2000 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2000 block of york rd, baltimore county, md"
Other,09/29/2024 1:12 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"00 BLOCK OF E RIDGELY RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","00 block of e ridgely rd, baltimore county, md"
Other,09/29/2024 1:06 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1800 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1800 block of york rd, baltimore county, md"
Other,09/29/2024 1:05 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1800 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1800 block of york rd, baltimore county, md"
Other,09/29/2024 1:03 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1800 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1800 block of york rd, baltimore county, md"
Other,09/29/2024 12:57 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1700 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1700 block of york rd, baltimore county, md"
Other,09/29/2024 12:55 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1600 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1600 block of york rd, baltimore county, md"
Other,09/29/2024 12:53 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1500 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1500 block of york rd, baltimore county, md"
Other,09/29/2024 12:51 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"2100 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","2100 block of york rd, baltimore county, md"
Other,09/29/2024 12:41 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"100 BLOCK OF W TIMONIUM RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","100 block of w timonium rd, baltimore county, md"
Other,09/29/2024 12:07 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1500 BLOCK OF YORK RD, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","1500 block of york rd, baltimore county, md"
Other,09/28/2024 10:25 PM,URGCHECK - URGENT CHECK THE WELFARE. Event #,"I 95 BET 64-67 N, Baltimore County, MD",39.43639005,-76.63226088572077,Baltimore County,MD,"$88,157","i 95 bet 64-67 n, baltimore county, md"
Theft,09/27/2024 8:11 PM,LARCENY - FROM BLDG. Theft from Building. Residence - Apartment/Condo. Report #:240046257,"800 BLK ROCKWELL AVE, GAITHERSBURG, MD",39.09315255,-77.19979331745799,GAITHERSBURG,MD,"$104,544","800 blk rockwell ave, gaithersburg, md"
Theft,09/27/2024 7:00 PM,AUTO THEFT - VEHICLE THEFT. Motor Vehicle Theft. Parking Lot - Residential. Report #:240046332,"9700 BLK FIELDS RD, GAITHERSBURG, MD",39.09315255,-77.19979331745799,GAITHERSBURG,MD,"$104,544","9700 blk fields rd, gaithersburg, md"
Theft,09/11/2024 1:07 PM,LARCENY (DESCRIBE OFFENSE). All other Larceny. Park. Report #:240043195,"800 BLK CROWN PARK AVE, GAITHERSBURG, MD",39.09315255,-77.19979331745799,GAITHERSBURG,MD,"$104,544","800 blk crown park ave, gaithersburg, md"
Assault,09/08/2024 4:02 PM,ASSAULT - 2ND DEGREE. Simple Assault. Residence -Townhouse/Duplex. Report #:240042618,"9700 BLK FIELDS RD, GAITHERSBURG, MD",39.09315255,-77.19979331745799,GAITHERSBURG,MD,"$104,544","9700 blk fields rd, gaithersburg, md"
Theft,09/01/2024 2:00 PM,FRAUD - SWINDLE. False Pretenses/Swindle/Confidence Game. Residence -Townhouse/Duplex. Report #:240041480,"9700 BLK FIELDS RD, GAITHERSBURG, MD",39.09315255,-77.19979331745799,GAITHERSBURG,MD,"$104,544","9700 blk fields rd, gaithersburg, md"
Burglary,09/29/2024 10:32 PM,ALRMRESDA - RESD BURGLARY (INTRUSION) ALARM - AUDIBLE. Event #,"1100 BLOCK OF LINDEN AVE, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","1100 block of linden ave, baltimore county, md"
Other,09/29/2024 7:01 PM,PSUSPVEH - PAST SUSPICIOUS VEHICLE. Event #,"CIRCLE DR & WESTLAND BLVD, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","circle dr & westland blvd, baltimore county, md"
Other,09/29/2024 5:55 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"5500 BLOCK OF HEATHERWOOD RD, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","5500 block of heatherwood rd, baltimore county, md"
Other,09/29/2024 5:24 PM,SUSPPERS - SUSPICIOUS PERSON. Event #,"900 BLOCK OF ELM RIDGE AVE, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","900 block of elm ridge ave, baltimore county, md"
Theft,09/29/2024 5:03 PM,VTHEFTJO - VEHICLE THEFT - JUST OCCURRED. Event #,"4600 BLOCK OF WILKENS AVE, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","4600 block of wilkens ave, baltimore county, md"
Theft,09/29/2024 4:32 PM,PTHEFTFRV - PAST THEFT FROM VEHICLE. Event #,"300 BLOCK OF MAIDEN CHOICE LN, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","300 block of maiden choice ln, baltimore county, md"
Other,09/29/2024 3:13 PM,WANTVEH - WANTED VEHICLE. Event #,"BLOOMSBURY AVE & FREDERICK RD, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","bloomsbury ave & frederick rd, baltimore county, md"
Other,09/29/2024 2:51 PM,UNWANT - UNWANTED PERSON. Event #,"900 BLOCK OF GROVEHILL RD, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","900 block of grovehill rd, baltimore county, md"
Other,09/29/2024 2:50 PM,URGCHECK - URGENT CHECK THE WELFARE. Event #,"5600 BLOCK OF CHELWYND RD, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","5600 block of chelwynd rd, baltimore county, md"
Assault,09/29/2024 2:26 PM,THREATJO - THREAT JUST OCCURRED. Event #,"4700 BLOCK OF WILKENS AVE, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","4700 block of wilkens ave, baltimore county, md"
Theft,09/29/2024 2:01 PM,PAVEHTHEFT - PAST ATTEMPTED VEHICLE THEFT. Event #,"200 BLOCK OF GARDEN RIDGE RD, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","200 block of garden ridge rd, baltimore county, md"
Other,09/29/2024 1:40 PM,CHECKLOC - CHECK ON A LOCATION. Event #,"400 BLOCK OF BLOOMSBURY AVE, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","400 block of bloomsbury ave, baltimore county, md"
Theft,09/29/2024 1:03 PM,PVEHTHEFT - PAST VEHICLE THEFT. Event #,"300 BLOCK OF MAIDEN CHOICE LN, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","300 block of maiden choice ln, baltimore county, md"
Theft,09/29/2024 12:38 PM,PTHEFTFRV - PAST THEFT FROM VEHICLE. Event #,"300 BLOCK OF MAIDEN CHOICE LN, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","300 block of maiden choice ln, baltimore county, md"
Other,09/29/2024 11:06 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1000 BLOCK OF MAIDEN CHOICE LN, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","1000 block of maiden choice ln, baltimore county, md"
Other,09/29/2024 10:59 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"4600 BLOCK OF WILKENS AVE, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","4600 block of wilkens ave, baltimore county, md"
Other,09/29/2024 9:53 AM,CHECKLOC - CHECK ON A LOCATION. Event #,"1000 BLOCK OF MAIDEN CHOICE LN, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","1000 block of maiden choice ln, baltimore county, md"
Burglary,09/29/2024 9:44 AM,ALRMRESD - RESIDENTIAL BURGLARY (INTRUSION) ALARM. Event #,"4800 BLOCK OF GATEWAY TER, Baltimore County, MD",39.2541842,-76.7130756,Baltimore County,MD,"$88,157","4800 block of gateway ter, baltimore county, md"
