Type,Date,Description,Address,Latitude,Longitude,City,State,Median Household Income,Address_Clean
Other,09/11/2024 1:22 PM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"300 BLOCK OF SOUTH VINE, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","300 block of south vine, maryville, mo"
Theft,09/09/2024 9:28 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF VOLUNTEER AVENUE, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","200 block of volunteer avenue, maryville, mo"
Assault,09/09/2024 11:15 AM,DOMESTIC ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"500 BLOCK OF WEST 3RD STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","500 block of west 3rd street, maryville, mo"
Theft,09/08/2024 6:34 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1600 block of south main, maryville, mo"
Theft,09/08/2024 6:34 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUT MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1600 block of sout main, maryville, mo"
Theft,09/07/2024 8:12 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1600 block of south main, maryville, mo"
Theft,09/07/2024 2:59 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1600 block of south main, maryville, mo"
Burglary,09/07/2024 2:29 PM,BURGLARY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1600 block of south main, maryville, mo"
Theft,09/04/2024 10:32 AM,FRAUD - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"500 BLOCK OF SOUTH BUCHANAN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","500 block of south buchanan, maryville, mo"
Assault,09/01/2024 8:04 PM,DOMESTIC ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF WEST 12TH STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","200 block of west 12th street, maryville, mo"
Theft,08/31/2024 6:02 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1600 block of south main, maryville, mo"
