Address,City,State,Median Household Income,Address_Clean
"100 BLOCK OF EAST 3RD STREET, Maryville, MO",Maryville,MO,"$49,144","100 block of east 3rd street, maryville, mo"
"600 BLOCK OF EAST 14TH STREET, Maryville, MO",Maryville,MO,"$49,144","600 block of east 14th street, maryville, mo"
"200 BLOCK OF NORTH BUCHANAN, Maryville, MO",Maryville,MO,"$49,144","200 block of north buchanan, maryville, mo"
"100 BLOCK OF NORTH BUCHANAN, Maryville, MO",Maryville,MO,"$49,144","100 block of north buchanan, maryville, mo"
"500 BLOCK OF EAST JENKINS, Maryville, MO",Maryville,MO,"$49,144","500 block of east jenkins, maryville, mo"
"500 BLOCK OF WEST 4TH STREET, Maryville, MO",Maryville,MO,"$49,144","500 block of west 4th street, maryville, mo"
"400 BLOCK OF EAST 1ST STREET, Maryville, MO",Maryville,MO,"$49,144","400 block of east 1st street, maryville, mo"
"100 BLOCK OF WEST 4TH STREET, Maryville, MO",Maryville,MO,"$49,144","100 block of west 4th street, maryville, mo"
"200 BLOCK OF EAST 3RD STREET, Maryville, MO",Maryville,MO,"$49,144","200 block of east 3rd street, maryville, mo"
"600 BLOCK OF SOUTH MAIN, Maryville, MO",Maryville,MO,"$49,144","600 block of south main, maryville, mo"
"300 BLOCK OF EAST COOPER, Maryville, MO",Maryville,MO,"$49,144","300 block of east cooper, maryville, mo"
"1100 BLOCK OF NORTH COLLEGE AVENUE, Maryville, MO",Maryville,MO,"$49,144","1100 block of north college avenue, maryville, mo"
"11000 BLOCK OF EAST 11TH STREET, Atlantic, IA",Atlantic,IA,"$54,692","11000 block of east 11th street, atlantic, ia"
"200 BLOCK OF COURT AVE, Des Moines, IA",Des Moines,IA,"$62,378","200 block of court ave, des moines, ia"
"1200 BLOCK OF PLEASANT ST, Des Moines, IA",Des Moines,IA,"$62,378","1200 block of pleasant st, des moines, ia"
"1200 BLOCK OF 6TH AVE, Des Moines, IA",Des Moines,IA,"$62,378","1200 block of 6th ave, des moines, ia"
"200 BLOCK OF 7TH ST, Des Moines, IA",Des Moines,IA,"$62,378","200 block of 7th st, des moines, ia"
"200 BLOCK OF E GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378","200 block of e grand ave, des moines, ia"
"2300 BLOCK OF GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378","2300 block of grand ave, des moines, ia"
"700 BLOCK OF 24TH ST, Des Moines, IA",Des Moines,IA,"$62,378","700 block of 24th st, des moines, ia"
"1100 BLOCK OF 17TH ST, Des Moines, IA",Des Moines,IA,"$62,378","1100 block of 17th st, des moines, ia"
"100 BLOCK OF SE 1ST ST, Des Moines, IA",Des Moines,IA,"$62,378","100 block of se 1st st, des moines, ia"
"900 BLOCK OF SCHOOL ST, Des Moines, IA",Des Moines,IA,"$62,378","900 block of school st, des moines, ia"
"1400 BLOCK OF 10TH ST, Des Moines, IA",Des Moines,IA,"$62,378","1400 block of 10th st, des moines, ia"
"1000 BLOCK OF WALNUT ST, Des Moines, IA",Des Moines,IA,"$62,378","1000 block of walnut st, des moines, ia"
"1700 BLOCK OF GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378","1700 block of grand ave, des moines, ia"
"1300 BLOCK OF KEOSAUQUA WAY, Des Moines, IA",Des Moines,IA,"$62,378","1300 block of keosauqua way, des moines, ia"
"700 BLOCK OF 17TH ST, Des Moines, IA",Des Moines,IA,"$62,378","700 block of 17th st, des moines, ia"
"400 BLOCK OF 14TH ST, Des Moines, IA",Des Moines,IA,"$62,378","400 block of 14th st, des moines, ia"
"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",Des Moines,IA,"$62,378","900 block of university ct, des moines, ia"
"00 BLOCK OF GRAYS LAKE TRL, Des Moines, IA",Des Moines,IA,"$62,378","00 block of grays lake trl, des moines, ia"
"1100 BLOCK OF 14TH ST, Des Moines, IA",Des Moines,IA,"$62,378","1100 block of 14th st, des moines, ia"
"1100 BLOCK OF GRAYS PKWY, Des Moines, IA",Des Moines,IA,"$62,378","1100 block of grays pkwy, des moines, ia"
"2100 BLOCK OF GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378","2100 block of grand ave, des moines, ia"
"200 BLOCK OF SW 11TH ST, Des Moines, IA",Des Moines,IA,"$62,378","200 block of sw 11th st, des moines, ia"
"1100 BLOCK OF 21ST ST, Des Moines, IA",Des Moines,IA,"$62,378","1100 block of 21st st, des moines, ia"
"6600 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6600 block of college park ct sw, cedar rapids, ia"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","00 block of miller ave sw, cedar rapids, ia"
"200 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","200 block of kirkwood ct sw, cedar rapids, ia"
"00 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","00 block of kirkwood ct sw, cedar rapids, ia"
"6600 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6600 block of kirkwood blvd sw, cedar rapids, ia"
"600 BLOCK OF MILLER AVENUE DR SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","600 block of miller avenue dr sw, cedar rapids, ia"
"300 BLOCK OF 66TH AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","300 block of 66th ave sw, cedar rapids, ia"
"6700 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6700 block of college park ct sw, cedar rapids, ia"
"6700 BLOCK OF J ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6700 block of j st sw, cedar rapids, ia"
"6800 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6800 block of college park ct sw, cedar rapids, ia"
"300 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","300 block of kirkwood ct sw, cedar rapids, ia"
"600 BLOCK OF KIRKWOOD PKWY SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","600 block of kirkwood pkwy sw, cedar rapids, ia"
"200 BLOCK OF MONMOUTH ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","200 block of monmouth st sw, cedar rapids, ia"
"100 BLOCK OF KOHAWK ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","100 block of kohawk st sw, cedar rapids, ia"
"6500 BLOCK OF OHIO ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6500 block of ohio st sw, cedar rapids, ia"
"5400 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5400 block of kirkwood blvd sw, cedar rapids, ia"
"00 BLOCK OF FLORIDA CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","00 block of florida ct sw, cedar rapids, ia"
"100 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","100 block of kirkwood ct sw, cedar rapids, ia"
"5300 BLOCK OF J ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5300 block of j st sw, cedar rapids, ia"
"5300 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5300 block of kirkwood blvd sw, cedar rapids, ia"
"100 BLOCK OF PRAIRIE HAWK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","100 block of prairie hawk ct sw, cedar rapids, ia"
"5900 BLOCK OF 4TH ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5900 block of 4th st sw, cedar rapids, ia"
"TRANSAMERICA, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","transamerica, cedar rapids, ia"
"3400 BLOCK OF E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","3400 block of e ave nw, cedar rapids, ia"
"BLAIRS FERRY RD NE AND SAMMI DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","blairs ferry rd ne and sammi dr ne, cedar rapids, ia"
"6900 BLOCK OF VALLEY VIEW CT NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6900 block of valley view ct nw, cedar rapids, ia"
"1ST AVENUE E AND 32ND STREET NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","1st avenue e and 32nd street ne, cedar rapids, ia"
"80TH ST NW AND E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","80th st nw and e ave nw, cedar rapids, ia"
"ELLIS BLVD NW AND ELLIS PARK NORTH ENTRANCE RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","ellis blvd nw and ellis park north entrance rd, cedar rapids, ia"
"6300 BLOCK OF RAPIDS RIDGE RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6300 block of rapids ridge rd ne, cedar rapids, ia"
"CITY HALL, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","city hall, cedar rapids, ia"
"BLAIRS FERRY RD NE AND SAMMI DRIVE NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","blairs ferry rd ne and sammi drive ne, cedar rapids, ia"
"6800 BLOCK OF COUNTRY RIDGE DR NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6800 block of country ridge dr nw, cedar rapids, ia"
"80TH ST NW AND KEYPOINT DR SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","80th st nw and keypoint dr sw, cedar rapids, ia"
"GILCHRIST EAST METERS, Cedar Falls, IA",Cedar Falls,IA,"$71,011","gilchrist east meters, cedar falls, ia"
"1ST AVE E AND 36TH ST NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","1st ave e and 36th st ne, cedar rapids, ia"
"100 BLOCK OF COMMERCIAL ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","100 block of commercial st, cedar falls, ia"
"900 BLOCK OF S 3RD STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","900 block of s 3rd street, marshalltown, ia"
"6900 BLOCK OF COUNTRY RIDGE DR NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6900 block of country ridge dr nw, cedar rapids, ia"
"ELLIS PARK RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","ellis park rd, cedar rapids, ia"
"7500 BLOCK OF COUNTRY RIDGE DR NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","7500 block of country ridge dr nw, cedar rapids, ia"
"1ST ST AND WALNUT ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","1st st and walnut st, cedar falls, ia"
"LINCOLN ST AND E MAIN ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","lincoln st and e main st, cedar falls, ia"
"1ST AVE W AND EASTVIEW AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","1st ave w and eastview ave sw, cedar rapids, ia"
"1ST AVENUE E AND 36TH STREET NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","1st avenue e and 36th street ne, cedar rapids, ia"
"00 BLOCK OF HWY AND 00 BLOCK OF HWY, Cedar Falls, IA",Cedar Falls,IA,"$71,011","00 block of hwy and 00 block of hwy, cedar falls, ia"
"500 BLOCK OF HWY 218, Cedar Falls, IA",Cedar Falls,IA,"$71,011","500 block of hwy 218, cedar falls, ia"
"100 BLOCK OF W HWY 20, Waterloo, IA",Waterloo,IA,"$54,104","100 block of w hwy 20, waterloo, ia"
"5000 BLOCK OF 140TH ST NE, SOLON, IA",SOLON,IA,"$114,936","5000 block of 140th st ne, solon, ia"
"5000 BLOCK OF 210TH ST NE, SOLON, IA",SOLON,IA,"$114,936","5000 block of 210th st ne, solon, ia"
"1100 BLOCK OF YELLOW PINE AVE NE, LISBON, IA",LISBON,IA,"$82,452","1100 block of yellow pine ave ne, lisbon, ia"
"JONES POOL RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","jones pool rd, cedar rapids, ia"
"5500 BLOCK OF MORSE RD NE, SOLON, IA",SOLON,IA,"$114,936","5500 block of morse rd ne, solon, ia"
"900 BLOCK OF 1ST AVE W, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","900 block of 1st ave w, cedar rapids, ia"
"1ST AVENUE E AND 5TH STREET NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","1st avenue e and 5th street ne, cedar rapids, ia"
"CEDAR LAKE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","cedar lake, cedar rapids, ia"
"70TH ST NE AND WHITE IVY PL NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","70th st ne and white ivy pl ne, cedar rapids, ia"
"JONES GOLF COURSE RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","jones golf course rd, cedar rapids, ia"
"1ST AVE E AND 38TH ST NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","1st ave e and 38th st ne, cedar rapids, ia"
"1ST AVENUE E AND 5TH STREET SE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","1st avenue e and 5th street se, cedar rapids, ia"
"1ST AVENUE W AND 5TH STREET SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","1st avenue w and 5th street sw, cedar rapids, ia"
"20TH ST SE AND 5TH AVE SE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","20th st se and 5th ave se, cedar rapids, ia"
"100 BLOCK OF OAK RIDGE AVE, HILLS, IA",HILLS,IA,"$78,406","100 block of oak ridge ave, hills, ia"
"HWY 1 SW/500TH ST SW, KALONA, IA",KALONA,IA,"$67,813","hwy 1 sw/500th st sw, kalona, ia"
"400 BLOCK OF BRADY ST, HILLS, IA",HILLS,IA,"$78,406","400 block of brady st, hills, ia"
"100 BLOCK OF SUMMER CIR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","100 block of summer cir ne, cedar rapids, ia"
"3700 BLOCK OF PINE WOOD DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","3700 block of pine wood dr ne, cedar rapids, ia"
"300 BLOCK OF LESLEY LN NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","300 block of lesley ln ne, cedar rapids, ia"
"2600 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","2600 block of blairs ferry rd ne, cedar rapids, ia"
"3200 BLOCK OF TOWNE HOUSE DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","3200 block of towne house dr ne, cedar rapids, ia"
"5200 BLOCK OF PINE GROVE DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5200 block of pine grove dr ne, cedar rapids, ia"
"5400 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5400 block of edgewood rd ne, cedar rapids, ia"
"3400 BLOCK OF HEMLOCK PL NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","3400 block of hemlock pl ne, cedar rapids, ia"
"5000 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5000 block of edgewood rd ne, cedar rapids, ia"
"400 BLOCK OF JENNIFER LN NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","400 block of jennifer ln ne, cedar rapids, ia"
"300 BLOCK OF PAULA LN NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","300 block of paula ln ne, cedar rapids, ia"
"5200 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5200 block of edgewood rd ne, cedar rapids, ia"
"2900 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","2900 block of blairs ferry rd ne, cedar rapids, ia"
"4600 BLOCK OF CROSS POINTE BLVD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","4600 block of cross pointe blvd ne, cedar rapids, ia"
"00 BLOCK OF LEISURE BLVD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","00 block of leisure blvd ne, cedar rapids, ia"
"6100 BLOCK OF GIBSON DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","6100 block of gibson dr ne, cedar rapids, ia"
"5400 BLOCK OF BLAIRS FOREST BLVD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","5400 block of blairs forest blvd ne, cedar rapids, ia"
"4400 BLOCK OF NORTH RIVER BLVD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","4400 block of north river blvd ne, cedar rapids, ia"
"00 BLOCK OF SUMMER CIR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","00 block of summer cir ne, cedar rapids, ia"
"3300 BLOCK OF AGIN CT NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","3300 block of agin ct ne, cedar rapids, ia"
"3200 BLOCK OF AGIN CT NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","3200 block of agin ct ne, cedar rapids, ia"
"NORTH PINE DR NE AND PINE WOOD DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","north pine dr ne and pine wood dr ne, cedar rapids, ia"
"3800 BLOCK OF PINE TREE DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","3800 block of pine tree dr ne, cedar rapids, ia"
"2300 BLOCK OF 12TH ST, CORALVILLE, IA",CORALVILLE,IA,"$67,691","2300 block of 12th st, coralville, ia"
"2700 BLOCK OF COMMERCE DR, CORALVILLE, IA",CORALVILLE,IA,"$67,691","2700 block of commerce dr, coralville, ia"
"1400 BLOCK OF CORAL RIDGE AVE, CORALVILLE, IA",CORALVILLE,IA,"$67,691","1400 block of coral ridge ave, coralville, ia"
"6000 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","6000 block of university av, cedar falls, ia"
"5900 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","5900 block of university av, cedar falls, ia"
"2900 BLOCK OF S MAIN ST RD, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2900 block of s main st rd, cedar falls, ia"
"4500 BLOCK OF CONEFLOWER PKWY, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4500 block of coneflower pkwy, cedar falls, ia"
"604- 5 W SEERLEY BLVD, Cedar Falls, IA",Cedar Falls,IA,"$71,011","604- 5 w seerley blvd, cedar falls, ia"
"2400- RAINBOW DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2400- rainbow dr, cedar falls, ia"
"1100 BLOCK OF BLUFF ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","1100 block of bluff st, cedar falls, ia"
"IOWA ST AND SEERLEY BL, Cedar Falls, IA",Cedar Falls,IA,"$71,011","iowa st and seerley bl, cedar falls, ia"
"300 BLOCK OF W 14TH ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","300 block of w 14th st, cedar falls, ia"
"700 BLOCK OF W SEERLEY BLVD, Cedar Falls, IA",Cedar Falls,IA,"$71,011","700 block of w seerley blvd, cedar falls, ia"
"2300 BLOCK OF MELROSE DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2300 block of melrose dr, cedar falls, ia"
"SHADY LN AND TERRACE DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","shady ln and terrace dr, cedar falls, ia"
"22ND ST AND WALNUT ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","22nd st and walnut st, cedar falls, ia"
"11TH ST AND STATE ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","11th st and state st, cedar falls, ia"
"1700 BLOCK OF WATERLOO RD, Cedar Falls, IA",Cedar Falls,IA,"$71,011","1700 block of waterloo rd, cedar falls, ia"
"2000 BLOCK OF MAIN ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2000 block of main st, cedar falls, ia"
"2300 BLOCK OF MAIN ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2300 block of main st, cedar falls, ia"
"1600- SCOGGIN ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","1600- scoggin st, cedar falls, ia"
"2600 BLOCK OF RAINBOW DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2600 block of rainbow dr, cedar falls, ia"
"2100 BLOCK OF FRANKLIN ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2100 block of franklin st, cedar falls, ia"
"MAIN ST AND UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","main st and university av, cedar falls, ia"
"725-201 MAPLEWOOD DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","725-201 maplewood dr, cedar falls, ia"
"6400 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","6400 block of university av, cedar falls, ia"
"2400 BLOCK OF RAINBOW DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2400 block of rainbow dr, cedar falls, ia"
"4200 BLOCK OF ORCHARD HILL DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4200 block of orchard hill dr, cedar falls, ia"
"1404-B MAIN ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","1404-b main st, cedar falls, ia"
"6300 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","6300 block of university av, cedar falls, ia"
"2500 BLOCK OF VALLEY PARK DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2500 block of valley park dr, cedar falls, ia"
"2100 BLOCK OF HICKORY LN, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2100 block of hickory ln, cedar falls, ia"
"400 BLOCK OF ORCHARD DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","400 block of orchard dr, cedar falls, ia"
"1600 BLOCK OF ORCHARD DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","1600 block of orchard dr, cedar falls, ia"
"800 BLOCK OF MAUCKER RD, Cedar Falls, IA",Cedar Falls,IA,"$71,011","800 block of maucker rd, cedar falls, ia"
"22ND ST., Cedar Falls, IA",Cedar Falls,IA,"$71,011","22nd st., cedar falls, ia"
"7800 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","7800 block of university av, cedar falls, ia"
"1100 BLOCK OF ORCHARD DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","1100 block of orchard dr, cedar falls, ia"
"4200 BLOCK OF JENNIFER LN, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4200 block of jennifer ln, cedar falls, ia"
"4500 BLOCK OF PRAIRIE PKWY, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4500 block of prairie pkwy, cedar falls, ia"
"1800 BLOCK OF EDWARDS AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","1800 block of edwards av, cedar falls, ia"
"EDWARDS AV AND GRAND BL, Cedar Falls, IA",Cedar Falls,IA,"$71,011","edwards av and grand bl, cedar falls, ia"
"20TH ST AND WALNUT ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","20th st and walnut st, cedar falls, ia"
"2600 BLOCK OF VALLEY PARK DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2600 block of valley park dr, cedar falls, ia"
"4100 BLOCK OF MARYHILL DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4100 block of maryhill dr, cedar falls, ia"
"5700 BLOCK OF BEECH ST, Johnston, IA",Johnston,IA,"$98,324","5700 block of beech st, johnston, ia"
"26TH STREET AND THIRD AVENUE, Fort Dodge, IA",Fort Dodge,IA,"$59,452","26th street and third avenue, fort dodge, ia"
"15TH STREET AND 4TH AVENUE SOUTH, Fort Dodge, IA",Fort Dodge,IA,"$59,452","15th street and 4th avenue south, fort dodge, ia"
"1500 BLOCK OF 4TH AVE S, Fort Dodge, IA",Fort Dodge,IA,"$59,452","1500 block of 4th ave s, fort dodge, ia"
"2700 BLOCK OF AIRPORT ROAD, Washington, IA",Washington,IA,"$56,399","2700 block of airport road, washington, ia"
"200 BLOCK OF 5TH STREET, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","200 block of 5th street, cedar rapids, ia"
"500 BLOCK OF 1ST AVENUE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895","500 block of 1st avenue, cedar rapids, ia"
"2300 BLOCK OF S 3RD AVENUE, Marshalltown, IA",Marshalltown,IA,"$65,000","2300 block of s 3rd avenue, marshalltown, ia"
